Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,40.863377,41.062618,40.711575,40.929790,38.246811,15410300
2019-04-09,40.777988,40.796963,40.398483,40.645161,37.980835,18825100
2019-04-10,40.721062,40.721062,40.464897,40.540798,37.883320,13202600
2019-04-11,40.597721,40.635674,39.838711,40.104362,37.475491,20214900
2019-04-12,40.170776,40.170776,39.449715,39.573055,36.979012,21338500
2019-04-15,39.715370,39.962048,39.345352,39.933586,37.315907,18362800
2019-04-16,40.056927,40.132828,38.738140,38.823528,36.278610,27507000
2019-04-17,38.804554,38.899429,37.371918,37.836811,35.356579,42412100
2019-04-18,37.884251,37.884251,36.451614,37.362431,34.913292,50579800
2019-04-22,37.030361,37.476280,36.821632,36.982922,34.558662,31018900
2019-04-23,37.087288,37.609108,36.888046,37.400379,34.948753,26672100
2019-04-24,37.476280,37.609108,37.153702,37.352940,34.904430,21197000
2019-04-25,37.239090,37.789375,37.163189,37.580647,35.117203,18130100
2019-04-26,37.637569,37.941177,37.428841,37.922199,35.436367,20053200
2019-04-29,37.922199,37.969639,37.561668,37.561668,35.099468,23229000
2019-04-30,38.330170,39.070210,37.760910,38.529411,36.003780,34360400
2019-05-01,38.510437,38.823528,38.111954,38.681213,36.145630,20703400
2019-05-02,38.719166,38.918407,38.500950,38.908920,36.358410,20471200
2019-05-03,39.108158,39.373814,38.927895,39.269451,36.695305,18664800
2019-05-06,38.814041,39.629982,38.747627,39.516129,36.925816,25973400
2019-05-07,39.269451,39.573055,38.425049,38.738140,36.198826,27603800
2019-05-08,38.709679,38.927895,38.368122,38.851994,36.305214,23812000
2019-05-09,38.235294,38.747627,38.168880,38.557877,36.349945,19732500
2019-05-10,38.548386,38.728653,37.827324,38.633778,36.421494,17391500
2019-05-13,38.168880,38.567364,38.092979,38.491463,36.287331,28010800
2019-05-14,38.510437,38.776093,38.481972,38.576851,36.367828,26772800
2019-05-15,38.766602,39.174572,38.614799,39.041744,36.806103,33520700
2019-05-16,39.041744,39.829224,39.041744,39.506641,37.244381,25508500
2019-05-17,39.184059,39.667931,39.136623,39.345352,37.092323,29187700
2019-05-20,39.278938,39.573055,39.165085,39.459202,37.199654,24251600
2019-05-21,39.573055,39.667931,39.364326,39.535103,37.271210,28785100
2019-05-22,39.554081,40.047440,39.421253,39.838711,37.557430,25274600
2019-05-23,39.696396,39.829224,39.516129,39.772297,37.494820,25495900
2019-05-24,39.905125,40.142315,39.724857,39.800758,37.521652,15383300
2019-05-28,39.990513,40.303604,39.743832,39.753319,37.476929,49440600
2019-05-29,39.563568,39.696396,39.165085,39.582542,37.315933,26895800
2019-05-30,39.544594,39.800758,39.449715,39.753319,37.476929,17344300
2019-05-31,39.554081,39.829224,39.326374,39.392788,37.137039,22639300
2019-06-03,39.497154,40.028461,39.440228,39.772297,37.494820,22643100
2019-06-04,40.303604,40.559772,39.886147,40.066414,37.772087,18453500
2019-06-05,40.417458,40.645161,40.237190,40.303604,37.995701,21418900
